Student_ID,Gender,Lunch_Type,Test_Preparation,Study_Time_per_Week,Daily_Sleep_Duration,Math_Score,Reading_Score,Writing_Score,Internet_Access,Race/Ethnicity_group_A,Race/Ethnicity_group_B,Race/Ethnicity_group_C,Race/Ethnicity_group_D,Race/Ethnicity_group_E,Parental_Education_associate_degree,Parental_Education_bachelor_degree,Parental_Education_high_school,Parental_Education_master_degree,Parental_Education_some_college,School_Type_international,School_Type_private,School_Type_public
4539,1,1,1,13,3,55,79,81,1,0,1,0,0,0,0,1,0,0,0,0,0,1
4693,1,1,0,9,7,78,84,76,1,1,0,0,0,0,1,0,0,0,0,0,1,0
4055,1,1,0,19,6,67,76,61,1,0,0,0,1,0,0,0,1,0,0,0,0,1
3873,0,1,1,3,8,80,57,85,0,1,0,0,0,0,0,0,0,0,1,0,0,1
1086,1,0,0,6,8,55,68,87,1,0,0,0,0,1,0,0,0,0,1,0,1,0
826,0,0,1,9,6,75,60,26,1,0,0,0,1,0,0,0,0,1,0,0,0,1
3750,1,1,0,12,5,100,53,71,1,0,1,0,0,0,0,0,0,0,1,0,0,1
1362,0,1,0,7,4,82,79,91,1,0,1,0,0,0,1,0,0,0,0,0,1,0
3754,0,1,0,13,7,95,71,84,1,0,0,1,0,0,1,0,0,0,0,0,1,0
3237,1,1,1,12,8,47,59,86,1,0,1,0,0,0,0,0,1,0,0,0,0,1
6504,1,0,0,5,5,79,79,57,0,0,1,0,0,0,0,1,0,0,0,0,0,1
680,0,0,0,8,8,62,72,68,0,0,0,0,0,1,0,0,0,0,1,0,1,0
6488,0,1,0,7,8,48,76,71,0,0,0,0,0,1,0,1,0,0,0,1,0,0
3513,1,1,1,11,6,100,85,62,0,0,0,1,0,0,0,1,0,0,0,0,1,0
4557,0,1,1,1,7,84,59,60,1,0,0,0,0,1,0,1,0,0,0,0,0,1
6988,1,1,0,6,7,75,100,84,1,0,0,0,0,1,0,0,0,0,1,0,0,1
1676,0,1,1,5,6,92,60,58,1,0,0,1,0,0,0,0,1,0,0,0,0,1
4910,1,1,0,12,6,65,66,66,1,0,0,0,0,1,0,0,1,0,0,0,1,0
2751,1,1,1,10,5,59,79,63,1,0,0,0,0,1,0,1,0,0,0,0,1,0
3389,1,0,0,16,6,86,93,61,1,0,1,0,0,0,1,0,0,0,0,0,0,1
6457,0,1,1,9,8,66,72,73,1,1,0,0,0,0,0,1,0,0,0,0,1,0
5056,0,1,1,9,7,64,70,68,1,1,0,0,0,0,0,0,1,0,0,0,1,0
5768,1,1,1,17,9,59,56,41,1,0,0,0,0,1,0,0,0,0,1,0,0,1
5252,1,1,0,7,7,74,68,73,1,1,0,0,0,0,1,0,0,0,0,1,0,0
6991,1,1,1,14,7,75,86,71,1,0,0,0,0,1,0,0,0,1,0,0,0,1
442,0,1,0,12,6,51,71,59,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2420,1,0,1,6,8,52,67,64,1,0,0,0,1,0,0,0,0,0,1,0,1,0
4867,0,1,0,17,6,59,77,57,1,0,1,0,0,0,0,0,1,0,0,0,0,1
5901,1,1,0,13,6,64,89,78,1,0,1,0,0,0,0,1,0,0,0,1,0,0
1217,0,0,0,4,8,85,60,79,1,0,1,0,0,0,0,0,1,0,0,0,0,1
422,1,0,0,4,5,60,74,83,1,1,0,0,0,0,0,0,0,0,1,0,1,0
3940,0,1,1,6,6,40,68,73,1,0,0,1,0,0,1,0,0,0,0,0,0,1
3511,1,1,1,17,8,84,37,55,1,0,1,0,0,0,0,0,1,0,0,0,1,0
1549,0,0,1,12,6,51,64,74,1,1,0,0,0,0,0,0,1,0,0,0,0,1
2593,1,1,1,12,7,72,100,49,1,0,1,0,0,0,0,0,1,0,0,0,0,1
1189,0,1,1,18,8,51,51,69,1,0,0,1,0,0,0,0,1,0,0,0,1,0
2397,1,0,1,8,7,52,82,54,1,1,0,0,0,0,0,1,0,0,0,1,0,0
5471,1,1,1,10,9,63,74,74,1,0,0,0,0,1,0,0,0,1,0,0,0,1
5080,0,1,0,11,6,77,64,77,1,1,0,0,0,0,0,1,0,0,0,0,0,1
2813,0,1,0,9,6,45,60,48,1,0,1,0,0,0,0,0,0,0,1,0,0,1
2221,0,1,1,20,7,55,61,90,1,0,0,0,1,0,1,0,0,0,0,0,0,1
6730,0,1,0,13,5,68,74,47,1,0,0,1,0,0,0,0,1,0,0,0,1,0
1277,0,1,1,2,7,70,76,98,1,0,0,0,1,0,0,0,0,0,1,0,1,0
2823,1,1,1,13,6,53,71,61,1,0,0,0,1,0,1,0,0,0,0,0,0,1
4129,1,1,0,9,10,78,58,72,1,0,0,1,0,0,0,0,0,0,1,0,1,0
6353,0,1,1,9,7,75,98,94,1,0,0,1,0,0,0,1,0,0,0,0,0,1
2150,1,0,0,2,9,81,93,75,1,0,0,1,0,0,1,0,0,0,0,0,0,1
5607,1,1,1,12,7,79,67,50,1,1,0,0,0,0,0,0,0,1,0,0,0,1
